name_a,name_b,n,mean_a,mean_b,mean_diff,wilcoxon_p,permutation_p,cliffs_delta,rank_biserial,effect_label,wilcoxon_p_corr,permutation_p_corr,significant,protocol,metric,metric_label,higher_is_better
AlwaysCompact_C128,CompactOnlyRL_attentive_ppoclip,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
AlwaysCompact_C128,MultiAgentRL_attentive_ppoclip,5,0.0,0.2414472,-0.2414472,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
AlwaysCompact_C128,MultiAgentRL_ddqn,5,0.0,0.23465560000000002,-0.23465560000000002,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
AlwaysCompact_C128,MultiAgentRL_mlp_ppo,5,0.0,0.2507888,-0.2507888,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
AlwaysCompact_C128,Threshold10_C128,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
AlwaysCompact_C128,Threshold10_C64,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
AlwaysCompact_C128,WorkloadAwareThreshold,5,0.0,0.2984428,-0.2984428,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_attentive_ppoclip,5,0.0,0.2414472,-0.2414472,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_ddqn,5,0.0,0.23465560000000002,-0.23465560000000002,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,0.0,0.2507888,-0.2507888,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
CompactOnlyRL_attentive_ppoclip,Threshold10_C128,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
CompactOnlyRL_attentive_ppoclip,Threshold10_C64,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
CompactOnlyRL_attentive_ppoclip,WorkloadAwareThreshold,5,0.0,0.2984428,-0.2984428,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_attentive_ppoclip,MultiAgentRL_ddqn,5,0.2414472,0.23465560000000002,0.0067916,1.0,0.875,-0.12,-0.06666666666666667,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,0.2414472,0.2507888,-0.009341599999999995,0.8125,0.6875,-0.2,-0.2,small,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_attentive_ppoclip,Threshold10_C128,5,0.2414472,0.0,0.2414472,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_attentive_ppoclip,Threshold10_C64,5,0.2414472,0.0,0.2414472,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_attentive_ppoclip,WorkloadAwareThreshold,5,0.2414472,0.2984428,-0.056995599999999993,0.0625,0.0625,-0.84,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
